system,scenario,reps,conversations,bytes_total_median,bytes_total_min,bytes_total_max,bytes_ab_median,bytes_ba_median,tls_bytes_median,duration_s_median,duration_s_min,duration_s_max,notes
email,m1p3,1,1,20326,20326,20326,8059,12267,17106,3.0951,3.0951,3.0951,two recipients: fmsg = remote domain + sender's own domain; email = two mailboxes at the same remote provider
email,m1p3x,1,2,35053,35053,35053,16467,18586,30079,5.1697,5.1697,5.1697,recipients on two different remote domains; email = gmail + outlook
email,m10p4x,1,13,237009,237009,237009,109189,127820,202273,85.8401,85.8401,85.8401,10-message round-robin across three domains
fmsg,m1p2,1,2,9573,9573,9573,4801,4772,6937,1.4218,1.4218,1.4218,
fmsg,m2p2,1,3,14345,14345,14345,6997,7348,10517,5.58,5.58,5.58,
fmsg,m3p2,1,4,19499,19499,19499,9757,9742,14095,8.3246,8.3246,8.3246,
fmsg,m4p2,1,5,24523,24523,24523,12007,12516,17675,12.4679,12.4679,12.4679,
fmsg,m5p2,1,6,29293,29293,29293,14713,14580,21253,15.0876,15.0876,15.0876,
fmsg,m1p2a10k,1,2,20520,20520,20520,15484,5036,17290,1.381,1.381,1.381,
fmsg,m1p2a1m,1,2,1119861,1119861,1119861,1078063,41798,1057099,2.521,2.521,2.521,whatsapp: sent as document to avoid transcoding
fmsg,m1p2-fwd,1,4,19000,19000,19000,9479,9521,13794,3.2403,3.2403,3.2403,whatsapp: N/A — true forward not automatable (whatsapp-web.js/WA Web incompatibility); forward semantics differ regardless (no history transfer)
fmsg,m1p2a1m-fwd,1,4,1115936,1115936,1115936,1082787,33149,1064002,4.894,4.894,4.894,whatsapp: N/A — true forward not automatable (whatsapp-web.js/WA Web incompatibility); forward semantics differ regardless (no history transfer)
fmsg,m3p2-br,1,4,19675,19675,19675,9355,10320,14097,8.1239,8.1239,8.1239,"whatsapp: quoted replies, flat thread semantics"
fmsg,m10p2,1,11,54361,54361,54361,26863,27498,39149,33.0627,33.0627,33.0627,per-message growth analysis
fmsg,m20p2,1,21,103865,103865,103865,51655,52210,74939,68.9416,68.9416,68.9416,per-message growth analysis
fmsg,m100p2,1,100,501235,501235,501235,249895,251340,361259,360.6928,360.6928,360.6928,"per-message growth analysis, long-thread stress"
fmsg,m10p3x,1,16,79128,79128,79128,39470,39658,57050,99.1835,99.1835,99.1835,recipients on two different domains; whatsapp N/A (no cross-domain concept)
fmsg,m1p2ascr,1,2,361093,361093,361093,348995,12098,343343,2.2252,2.2252,2.2252,realistic attachment: screenshot PNG ~336 kB
fmsg,m1p2aimg,1,2,1078053,1078053,1078053,1050553,27500,1029985,2.6557,2.6557,2.6557,realistic attachment: photo JPG ~1.0 MB; whatsapp sent as image (native pipeline may recompress)
fmsg,m1p2adoc,1,2,416666,416666,416666,398720,17946,390428,2.6367,2.6367,2.6367,realistic attachment: document ODT ~377 kB
fmsg,m1p3,1,2,9654,9654,9654,4828,4826,6964,1.3966,1.3966,1.3966,two recipients: fmsg = remote domain + sender's own domain; email = two mailboxes at the same remote provider
fmsg,m1p3x,1,4,19245,19245,19245,9635,9610,13907,5.3897,5.3897,5.3897,recipients on two different remote domains; email = gmail + outlook
fmsg,m10p4x,1,18,89289,89289,89289,45120,44169,64443,103.6115,103.6115,103.6115,10-message round-robin across three domains
email,m100p2,1,100,4313697,4313697,4313697,2033230,2280467,3875543,886.5649,886.5649,886.5649,"per-message growth analysis, long-thread stress"
